fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-0.006,0.2,0.1,4,1132614,186,1132800,1.641949152542373e-4
-0.006,0.2,0.1,6,1132650,140,1132790,1.2358866162307224e-4
-0.006,0.2,0.1,8,1132647,113,1132760,9.975634732864862e-5
-0.006,0.2,0.1,10,1132609,92,1132701,8.1221787567946e-5
-0.006,0.201,0.1,2,1132826,4,1132830,3.5309799352065184e-6
-0.006,0.201,0.1,4,1132578,222,1132800,1.9597457627118644e-4
-0.006,0.201,0.1,6,1132643,147,1132790,1.2976809470422585e-4
-0.006,0.201,0.1,8,1132635,125,1132760,1.1034994173523077e-4
-0.006,0.201,0.1,10,1132601,99,1132700,8.740178334951885e-5
-0.006,0.21,0.1,2,1000004,6,1000010,5.999940000599994e-6
-0.006,0.21,0.1,4,999312,698,1000010,6.979930200697993e-4
-0.006,0.21,0.1,6,999682,328,1000010,3.2799672003279965e-4
-0.006,0.21,0.1,8,999803,207,1000010,2.069979300206998e-4
-0.006,0.21,0.1,10,999862,148,1000010,1.4799852001479984e-4
0,0,0,2,999796,240,1000036,2.3999136031102882e-4
0,0,0,4,999886,163,1000049,1.6299201339134382e-4
0,0,0,6,999915,135,1000050,1.3499325033748314e-4
0,0,0,8,999958,92,1000050,9.19954002299885e-5
0,0,0,10,999975,75,1000050,7.499625018749062e-5
0,0.19,0.1,2,1005022,8,1005030,7.959961394187238e-6
0,0.19,0.1,4,1005020,0,1005020,0
0,0.19,0.1,6,1004997,11,1005008,1.0945186505978062e-5
0,0.19,0.1,8,1004962,10,1004972,9.950525984803557e-6
0,0.19,0.1,10,1004931,19,1004950,1.8906413254390765e-5
0,0.196,0.1,2,1132890,9,1132899,7.944220976450682e-6
0,0.196,0.1,4,1132809,21,1132830,1.853764465983422e-5
0,0.196,0.1,6,1132755,40,1132795,3.531089031996081e-5
0,0.196,0.1,8,1132742,48,1132790,4.237325541362477e-5
0,0.196,0.1,10,1132714,46,1132760,4.060877855856492e-5
0,0.197,0.1,2,1132893,7,1132900,6.178833083237709e-6
0,0.197,0.1,4,1132769,61,1132830,5.38474440118994e-5
0,0.197,0.1,6,1132737,53,1132790,4.6787136185877345e-5
0,0.197,0.1,8,1132725,65,1132790,5.738045003928354e-5
0,0.197,0.1,10,1132693,67,1132760,5.914756877008369e-5
0,0.198,0.1,2,1132891,9,1132900,7.944213964162769e-6
0,0.198,0.1,4,1132755,75,1132830,6.620587378512221e-5
0,0.198,0.1,6,1132714,76,1132790,6.709098773823922e-5
0,0.198,0.1,8,1132704,85,1132789,7.503603936832013e-5
0,0.198,0.1,10,1132678,82,1132760,7.238956177831138e-5
0,0.199,0.1,2,1132894,6,1132900,5.296142642775179e-6
0,0.199,0.1,4,1132674,156,1132830,1.3770821747305422e-4
0,0.199,0.1,6,1132671,119,1132790,1.050503623796114e-4
0,0.199,0.1,8,1132693,97,1132790,8.562928698170004e-5
0,0.199,0.1,10,1132693,67,1132760,5.914756877008369e-5
0,0.2,0.1,2,1132887,7,1132894,6.178865807392395e-6
0,0.2,0.1,4,1132592,237,1132829,2.0921074584072266e-4
0,0.2,0.1,6,1132644,146,1132790,1.2888531854977534e-4
0,0.2,0.1,8,1132704,86,1132790,7.591874928274437e-5
0,0.2,0.1,10,1132670,90,1132760,7.945195804936615e-5
0,0.201,0.1,2,1132874,6,1132880,5.29623614151543e-6
0,0.201,0.1,4,1132520,308,1132828,2.718859350227925e-4
0,0.201,0.1,6,1132579,211,1132790,1.8626576858905887e-4
0,0.201,0.1,8,1132664,126,1132790,1.1122979546076501e-4
0,0.201,0.1,10,1132643,115,1132758,1.015221256437827e-4
0,0.21,0.1,2,1000002,8,1000010,7.999920000799991e-6
0,0.21,0.1,4,998116,1892,1000008,0.001891984864121087
0,0.21,0.1,6,999227,783,1000010,7.829921700782993e-4
0,0.21,0.1,8,999561,447,1000008,4.4699642402860776e-4
0,0.21,0.1,10,999717,293,1000010,2.929970700292997e-4
